trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
CD31A 07:40,07:40:00,07:40:00,9583493,0,"",0,,0,1
CD31A 07:40,07:41:00,07:41:00,9583484,1,"",0,,359.2270276555059,0
CD31A 07:40,07:42:00,07:42:00,9583485,2,"",0,,658.0229618330459,0
CD31A 07:40,07:43:00,07:43:00,9583486,3,"",0,,813.6592794524798,0
CD31A 07:40,07:44:00,07:44:00,9583487,4,"",0,,1049.7390193112503,0
CD31A 07:40,07:46:00,07:46:00,9836370,5,"",0,,1338.1277273587625,1
CD31A 07:40,07:47:00,07:47:00,9583488,6,"",0,,1791.3667152681264,0
CD31A 07:40,07:50:00,07:50:00,9583489,7,"",0,,2605.586809542367,0
CD31A 07:40,07:50:00,07:50:00,9583490,8,"",0,,2769.5461264309865,0
CD31A 07:40,07:51:00,07:51:00,9583491,9,"",0,,2851.187984567435,0
CD31A 07:40,07:51:00,07:51:00,9583492,10,"",0,,3024.520361935121,0
CD31A 07:40,07:52:00,07:52:00,9583494,11,"",0,,3313.4435174913024,0
CD31A 07:40,07:54:00,07:54:00,9590948,12,"",0,,4081.7383782704487,0
CD31A 07:40,07:57:00,07:57:00,9590949,13,"",0,,4599.389741108163,1
CD31A 07:40,07:58:00,07:58:00,9583495,14,"",0,,5120.8897747651745,0
CD31A 07:40,07:59:00,07:59:00,9583496,15,"",0,,5470.040473200668,0
CD31A 07:40,08:01:00,08:01:00,9583497,16,"",0,,5566.653248565152,0
CD31A 07:40,08:02:00,08:02:00,9583498,17,"",0,,5711.830878591209,0
CD31A 07:40,08:03:00,08:03:00,9583499,18,"",0,,5869.645904236517,0
CD31A 07:40,08:05:00,08:05:00,9583493,19,"",0,,6093.784359811431,1
CD31A 08:30,08:30:00,08:30:00,9583493,0,"",0,,0,1
CD31A 08:30,08:31:00,08:31:00,9583484,1,"",0,,359.2270276555059,0
CD31A 08:30,08:32:00,08:32:00,9583485,2,"",0,,658.0229618330459,0
CD31A 08:30,08:33:00,08:33:00,9583486,3,"",0,,813.6592794524798,0
CD31A 08:30,08:34:00,08:34:00,9583487,4,"",0,,1049.7390193112503,0
CD31A 08:30,08:36:00,08:36:00,9836370,5,"",0,,1338.1277273587625,1
CD31A 08:30,08:37:00,08:37:00,9583488,6,"",0,,1791.3667152681264,0
CD31A 08:30,08:40:00,08:40:00,9583489,7,"",0,,2605.586809542367,0
CD31A 08:30,08:40:00,08:40:00,9583490,8,"",0,,2769.5461264309865,0
CD31A 08:30,08:41:00,08:41:00,9583491,9,"",0,,2851.187984567435,0
CD31A 08:30,08:41:00,08:41:00,9583492,10,"",0,,3024.520361935121,0
CD31A 08:30,08:42:00,08:42:00,9583494,11,"",0,,3313.4435174913024,0
CD31A 08:30,08:44:00,08:44:00,9590948,12,"",0,,4081.7383782704487,0
CD31A 08:30,08:47:00,08:47:00,9590949,13,"",0,,4599.389741108163,1
CD31A 08:30,08:48:00,08:48:00,9583495,14,"",0,,5120.8897747651745,0
CD31A 08:30,08:49:00,08:49:00,9583496,15,"",0,,5470.040473200668,0
CD31A 08:30,08:51:00,08:51:00,9583497,16,"",0,,5566.653248565152,0
CD31A 08:30,08:52:00,08:52:00,9583498,17,"",0,,5711.830878591209,0
CD31A 08:30,08:53:00,08:53:00,9583499,18,"",0,,5869.645904236517,0
CD31A 08:30,08:55:00,08:55:00,9583493,19,"",0,,6093.784359811431,1
CD31A 08:55,08:55:00,08:55:00,9583493,0,"",0,,0,1
CD31A 08:55,08:56:00,08:56:00,9583484,1,"",0,,359.2270276555059,0
CD31A 08:55,08:57:00,08:57:00,9583485,2,"",0,,658.0229618330459,0
CD31A 08:55,08:58:00,08:58:00,9583486,3,"",0,,813.6592794524798,0
CD31A 08:55,08:59:00,08:59:00,9583487,4,"",0,,1049.7390193112503,0
CD31A 08:55,09:01:00,09:01:00,9836370,5,"",0,,1338.1277273587625,1
CD31A 08:55,09:02:00,09:02:00,9583488,6,"",0,,1791.3667152681264,0
CD31A 08:55,09:05:00,09:05:00,9583489,7,"",0,,2605.586809542367,0
CD31A 08:55,09:05:00,09:05:00,9583490,8,"",0,,2769.5461264309865,0
