trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
CD31A 07:40,6421,1,Route 31,"",0,450791,25190,
CD31A 08:30,6421,1,Route 31,"",0,450791,25190,
CD31A 08:55,6421,1,Route 31,"",0,450791,25190,
CD31A 09:20,6421,1,Route 31,"",0,450791,25190,
CD31A 09:45,6421,1,Route 31,"",0,450791,25190,
CD31A 10:10,6421,1,Route 31,"",0,450791,25190,
CD31A 10:35,6421,1,Route 31,"",0,450791,25190,
CD31A 11:00,6421,1,Route 31,"",0,450791,25190,
CD31A 11:25,6421,1,Route 31,"",0,450791,25190,
CD31A 11:50,6421,1,Route 31,"",0,450791,25190,
CD31A 12:12,6421,1,Route 31,"",0,450791,25190,
CD31A 12:40,6421,1,Route 31,"",0,450791,25190,
CD31A 13:05,6421,1,Route 31,"",0,450791,25190,
CD31A 13:30,6421,1,Route 31,"",0,450791,25190,
CD31A 13:55,6421,1,Route 31,"",0,450791,25190,
CD31A 14:20,6421,1,Route 31,"",0,450791,25190,
CD31A 14:45,6421,1,Route 31,"",0,450791,25190,
CD31A 15:10,6421,1,Route 31,"",0,450791,25190,
CD31A 15:35,6421,1,Route 31,"",0,450791,25190,
CD31A 16:00,6421,1,Route 31,"",0,450791,25190,
CD31A 16:25,6421,1,Route 31,"",0,450791,25190,
CD31A 16:50,6421,1,Route 31,"",0,450791,25190,
CD31A 17:15,6421,1,Route 31,"",0,450791,25190,
CD31A 17:40,6421,1,Route 31,"",0,450791,25190,
CD31A 18:05,6421,1,Route 31,"",0,450791,25190,
CD31A 8:05,6421,1,Route 31,"",0,450791,25190,
CD33A 06:55,6424,1,Route 33,"",0,450792,25189,
CD33A 07:15,6424,1,Route 33,"",0,450792,25189,
CD33A 07:35,6424,1,Route 33,"",0,450792,25189,
CD33A 07:55,6424,1,Route 33,"",0,450792,25189,
CD33A 08:15,6424,1,Route 33,"",0,450792,25189,
CD33A 08:35,6424,1,Route 33,"",0,450792,25189,
CD33A 08:55,6424,1,Route 33,"",0,450792,25189,
CD33A 09:15,6424,1,Route 33,"",0,450792,25189,
CD33A 09:35,6424,1,Route 33,"",0,450792,25189,
CD33A 09:55,6424,1,Route 33,"",0,450792,25189,
CD33A 10:15,6424,1,Route 33,"",0,450792,25189,
CD33A 10:35,6424,1,Route 33,"",0,450792,25189,
CD33A 10:55,6424,1,Route 33,"",0,450792,25189,
CD33A 11:15,6424,1,Route 33,"",0,450792,25189,
CD33A 11:35,6424,1,Route 33,"",0,450792,25189,
CD33A 11:55,6424,1,Route 33,"",0,450792,25189,
CD33A 12:15,6424,1,Route 33,"",0,450792,25189,
CD33A 12:35,6424,1,Route 33,"",0,450792,25189,
CD33A 12:55,6424,1,Route 33,"",0,450792,25189,
CD33A 13:15,6424,1,Route 33,"",0,450792,25189,
CD33A 13:35,6424,1,Route 33,"",0,450792,25189,
CD33A 13:55,6424,1,Route 33,"",0,450792,25189,
CD33A 14:15,6424,1,Route 33,"",0,450792,25189,
CD33B 07:05,6424,1,Route 33,"",0,450793,25189,
CD33B 07:25,6424,1,Route 33,"",0,450793,25189,
CD33B 07:45,6424,1,Route 33,"",0,450793,25189,
CD33B 08:05,6424,1,Route 33,"",0,450793,25189,
